航线,title,出发地,出发时间,卖家,内舱,海景,阳台,套房,评价
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 鹿儿岛+长崎,上海上船,2019 04-16,皇家邮轮直连,¥4067起/人,¥4267起/人,¥4725起/人,¥5792起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 那霸+长崎,上海上船,2019 04-21,皇家邮轮直连,¥3917起/人,¥4117起/人,¥4442起/人,¥5642起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,上海上船,2019 05-04,皇家邮轮直连,¥3530起/人,¥3690起/人,¥3950起/人,¥4910起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 长崎,上海上船,2019 05-08,皇家邮轮直连,¥3530起/人,¥3690起/人,¥3950起/人,¥4910起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,上海上船,2019 05-16,皇家邮轮直连,¥3928起/人,¥4155起/人,¥4462起/人,¥5422起/人,92.2%的人满意该产品
澳新航线,皇家加勒比国际游轮【海洋灿烂号】 14天12晚 跟团游·新西兰环岛之旅（澳大利亚 新西兰）,上海出发,2018 11-19,上海众信国旅,¥17199起/人,¥18199起/人,¥19199起/人,售罄,90.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 长崎,上海上船,2019 05-20,皇家邮轮直连,¥3417起/人,¥3577起/人,¥3944起/人,¥4797起/人,92.2%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋交响号】 12天10晚 跟团游·邮轮停靠3站： 巴哈马（猎奇） 圣托马斯（沙滩） 圣基茨（城堡）,上海出发,2018 12-07,不夜城国旅,¥16800起/人,售罄,¥18800起/人,售罄,100.0%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 7天5晚 跟团游·新享乐游！新加坡、马来西亚、泰国邮轮之旅,上海出发,2018 10-28,上海众信国旅,¥6667起/人,¥7500起/人,¥8667起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 跟团游·新加坡+巴生港（吉隆坡）+普吉岛+新加坡(新航直飞上海往返),上海出发,2018 10-28,同程国旅,¥7322起/人,售罄,¥7988起/人,售罄,89.9%的人满意该产品
澳新航线,皇家加勒比国际游轮【海洋灿烂号】 14天12晚 跟团游·新西兰环岛之旅（澳大利亚 新西兰）,上海出发,2018 11-29,上海众信国旅,¥17199起/人,¥18199起/人,¥19199起/人,售罄,90.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 6天4晚 跟团游·新享乐游！海上新马泰之旅！,上海出发,2018 11-05,上海众信国旅,¥6167起/人,¥7000起/人,¥8167起/人,售罄,89.9%的人满意该产品
澳新航线,皇家加勒比国际游轮【海洋灿烂号】 14天12晚 跟团游·新西兰环岛之旅（澳大利亚 新西兰）,上海出发,2018 12-09,上海众信国旅,¥17199起/人,¥18199起/人,¥19199起/人,售罄,90.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 7天6晚 跟团游·新加坡+巴生港（吉隆坡）+普吉岛+新加坡(新航直飞上海往返),上海出发,2018 11-17,同程国旅,¥8388起/人,¥8888起/人,¥9588起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 跟团游·新加坡+巴生港（吉隆坡）+普吉岛+新加坡(新航直飞上海往返),上海出发,2018 12-02,同程国旅,¥7988起/人,¥8188起/人,¥9388起/人,售罄,89.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 5天4晚 福冈,天津上船(多地可选),2018 08-12,携程国旅,¥5399起/人,¥6098起/人,¥5999起/人,¥7598起/人,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 6天5晚 福冈+长崎,天津上船(多地可选),2018 09-11,携程国旅,售罄,¥4798起/人,¥4798起/人,¥4998起/人,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 8天7晚 福冈+境港市+舞鹤市,天津上船(多地可选),2018 08-25,携程国旅,¥5566起/人,¥6066起/人,¥6199起/人,¥6799起/人,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 8天7晚 长崎+境港市+舞鹤市,天津上船(多地可选),2018 08-05,携程国旅,¥6899起/人,售罄,¥7799起/人,¥57199起/人,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 5天4晚 长崎,天津上船(多地可选),2018 08-16,春秋国旅,¥5799起/人,¥6199起/人,¥6499起/人,¥7399起/人,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 6天5晚 长崎+北九州,天津上船(多地可选),2018 07-31,华美欧国旅,¥5999起/人,¥7199起/人,¥6999起/人,¥12499起/人,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 6天5晚 福冈+长崎,天津上船(多地可选),2018 09-06,天津津旅邮轮有限公司,¥4299起/人,¥4699起/人,¥4899起/人,¥5199起/人,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 6天5晚 下关市+佐世保市,天津上船(多地可选),2018 07-26,北京恒信国际旅行社有限公司,¥6499起/人,¥5699起/人,¥5999起/人,售罄,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 6天5晚 八代（过夜）,天津上船(多地可选),2018 08-20,北京恒信国际旅行社有限公司,¥5698起/人,¥5998起/人,¥6198起/人,¥7998起/人,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 6天5晚 长崎+下关市,天津上船(多地可选),2018 09-01,华美欧国旅,¥4399起/人,¥4399起/人,¥4899起/人,¥5699起/人,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 6天5晚 八代市+福冈,天津上船(多地可选),2018 07-21,携程国旅,¥5599起/人,¥6599起/人,¥5899起/人,售罄,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 6天5晚 福冈（过夜）,天津上船(多地可选),2018 09-16,皇家邮轮直连,¥4243起/人,¥4546起/人,¥4657起/人,¥6633起/人,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 那霸+那霸,深圳上船(多地可选),2018 07-22,携程国旅,¥3999起/人,¥5691起/人,¥6841起/人,售罄,89.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 那霸+那霸,深圳上船(多地可选),2018 07-27,携程国旅,¥3999起/人,¥3999起/人,¥4799起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 跟团游·（5钻）厦门-新加坡-巴生港-普吉岛-新加坡-厦门,厦门出发,2018 09-30,福建康辉,¥10499起/人,¥11399起/人,¥11999起/人,售罄,89.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 7天6晚 佐世保+福冈+下关,天津上船(多地可选),2018 10-01,携程国旅,¥7379起/人,¥7579起/人,¥8279起/人,¥9279起/人,93.7%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋赞礼号】 6天5晚 八代+长崎,天津上船(多地可选),2018 09-21,北京恒信国际旅行社有限公司,¥4799起/人,¥5199起/人,¥5399起/人,¥5699起/人,93.7%的人满意该产品
,皇家加勒比国际游轮【海洋赞礼号】 14天12晚 跟团游·天津-冲绳-台北-香港-岘港-芽庄-胡志明市-新加坡/天津,天津上船,2018 10-07,北京恒信国际旅行社有限公司,¥12299起/人,¥13899起/人,¥14599起/人,售罄,93.7%的人满意该产品
,皇家加勒比国际游轮【海洋赞礼号】 14天12晚 跟团游 ·天津-冲绳-台北-香港-岘港-芽庄-胡志明市-新加坡/上海,天津上船,2018 10-07,北京恒信国际旅行社有限公司,¥12299起/人,¥13899起/人,¥14599起/人,售罄,93.7%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 8天6晚 跟团游·天津/新加坡-吉隆坡-槟城-普吉岛-新加坡/天津,天津出发,2018 09-08,北京恒信国际旅行社有限公司,¥7399起/人,¥7699起/人,¥8999起/人,售罄,89.9%的人满意该产品
,皇家加勒比国际游轮【海洋赞礼号】 13天12晚 那霸+基隆+香港+顺化+芽庄+胡志明市,天津上船,2018 10-07,皇家邮轮直连,¥12854起/人,¥12908起/人,¥13689起/人,¥19084起/人,93.7%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 7天5晚 跟团游·天津/新加坡-吉隆坡(巴生港) -普吉岛-新加坡/天津,天津出发,2018 09-23,北京恒信国际旅行社有限公司,¥6699起/人,¥6999起/人,¥7899起/人,售罄,89.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+长崎,天津上船,2019 06-04,皇家邮轮直连,¥4178起/人,¥4478起/人,¥4965起/人,¥6165起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+长崎,天津上船,2019 06-09,皇家邮轮直连,¥3676起/人,¥3876起/人,¥4201起/人,¥5867起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+长崎,天津上船,2019 06-14,皇家邮轮直连,¥3818起/人,¥4018起/人,¥4343起/人,¥5543起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 长崎,天津上船,2019 06-19,皇家邮轮直连,¥3279起/人,¥3439起/人,¥3806起/人,¥4659起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 8天7晚 福冈+境港市+舞鹤市,天津上船,2019 06-23,皇家邮轮直连,¥4647起/人,¥5035起/人,¥5439起/人,¥8409起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 下关市+长崎,天津上船,2019 06-30,皇家邮轮直连,¥3961起/人,¥4161起/人,¥4486起/人,¥5686起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+福冈,天津上船,2019 07-05,皇家邮轮直连,¥4396起/人,¥4596起/人,¥4921起/人,¥6121起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,天津上船,2019 08-16,皇家邮轮直连,¥5137起/人,¥5297起/人,¥5603起/人,¥6723起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,天津上船,2019 07-10,皇家邮轮直连,¥4434起/人,售罄,¥4961起/人,¥5814起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+北九州,天津上船,2019 07-14,皇家邮轮直连,¥6248起/人,¥6448起/人,¥6832起/人,¥8232起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 8天7晚 舞鹤市+境港市+福冈,天津上船,2019 07-19,皇家邮轮直连,¥7012起/人,¥7401起/人,¥8097起/人,¥8904起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 八代市+福冈,天津上船,2019 07-26,皇家邮轮直连,¥6248起/人,¥6918起/人,¥6965起/人,¥8232起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 长崎,天津上船,2019 07-31,皇家邮轮直连,¥5137起/人,¥5297起/人,¥5603起/人,¥6723起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+福冈,天津上船,2019 08-04,皇家邮轮直连,¥6248起/人,¥6448起/人,¥6832起/人,¥8232起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 8天7晚 福冈+境港市+舞鹤市,天津上船,2019 08-09,皇家邮轮直连,¥7012起/人,¥7245起/人,¥7941起/人,¥8904起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 八代市+福冈,天津上船,2019 08-20,皇家邮轮直连,¥6090起/人,¥6528起/人,¥6807起/人,¥8073起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 下关市+福冈,天津上船,2019 08-29,皇家邮轮直连,¥3961起/人,¥4161起/人,¥4486起/人,¥5686起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 佐世保市+福冈,天津上船,2019 09-03,皇家邮轮直连,¥3961起/人,¥4161起/人,¥4486起/人,¥5686起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+福冈,天津上船,2019 09-08,皇家邮轮直连,¥3818起/人,¥4018起/人,¥4343起/人,¥5543起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,天津上船,2019 09-21,皇家邮轮直连,¥3388起/人,¥3318起/人,¥3578起/人,¥4988起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 八代市+长崎,天津上船,2019 09-25,皇家邮轮直连,¥3727起/人,¥3927起/人,¥4386起/人,¥5452起/人,92.2%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋量子号】 13天12晚 福冈+基隆+香港+顺化+芽庄+胡志明市,天津上船,2019 10-07,皇家邮轮直连,¥8052起/人,¥8707起/人,¥9810起/人,¥13985起/人,92.2%的人满意该产品
地中海航线,皇家加勒比国际游轮【海洋交响号】 13天11晚 跟团游·.(4星）.西班牙双城：西班牙+法国+意大利（汉莎团）,北京出发,2018 08-23,北京众信国旅,¥20800起/人,售罄,¥22800起/人,售罄,100.0%的人满意该产品
地中海航线,皇家加勒比国际游轮【海洋交响号】 13天11晚 跟团游·13天12晚西班牙深度游+西地中海邮轮之旅,北京出发,2018 08-15,北京缤纷国际旅行社有限公司,¥23998起/人,售罄,¥28998起/人,售罄,100.0%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 8天6晚 跟团游·【错峰游】新加坡、吉隆坡、槟城、普吉岛*东南亚风情之旅,北京出发,2018 09-08,中青旅,¥7999起/人,¥8999起/人,¥9999起/人,售罄,89.9%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 14天12晚 跟团游·西加勒比海巡游+美国东海岸,北京出发,2018 09-05,北京众信国旅,¥21800起/人,售罄,¥23800起/人,售罄,87.9%的人满意该产品
地中海航线,皇家加勒比国际游轮【海洋交响号】 10天8晚 跟团游·10天9晚意大利、西班牙、法国地中海邮轮之旅,北京出发,2018 09-05,北京缤纷国际旅行社有限公司,¥18998起/人,售罄,售罄,售罄,100.0%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 12天10晚 跟团游·洪都拉斯+巴哈马+墨西哥+美国（科苏梅尔/哥诗达玛雅/罗丹岛/巴哈马拿骚）,北京出发,2018 09-08,邮电国旅,¥17999起/人,售罄,¥18999起/人,售罄,87.9%的人满意该产品
地中海航线,皇家加勒比国际游轮【海洋交响号】 11天9晚 跟团游 ·.（4星）.地中海巡游：西班牙+法国+意大利（汉莎团）,北京出发,2018 09-08,北京众信国旅,¥18800起/人,售罄,¥20800起/人,售罄,100.0%的人满意该产品
